epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8474,2.31175,8.15775,2.61222,0.00536,0.0262,0.00142,0.00038,2.57048,12.5046,2.42843,0.000663462,0.000663462,0.000663462
2,102.399,2.14217,5.43013,2.43854,0.26771,0.16443,0.08711,0.03825,2.07875,6.36241,2.06606,0.00132135,0.00132135,0.00132135
3,148.366,1.97893,4.73128,2.23173,0.08886,0.19651,0.04537,0.01552,2.0437,5.14182,2.03864,0.00197044,0.00197044,0.00197044
4,194.788,2.05424,3.88802,2.3485,0.24783,0.1048,0.08723,0.03866,2.22792,5.23022,2.08941,0.0019604,0.0019604,0.0019604
5,241.175,1.95673,3.39371,2.23404,0.33078,0.28276,0.17296,0.07297,1.95443,4.36017,1.88114,0.0019472,0.0019472,0.0019472
6,287.71,1.91061,3.11921,2.18766,0.4186,0.30568,0.2298,0.09761,1.96898,3.64189,1.96556,0.001934,0.001934,0.001934
7,334.337,1.87909,2.70908,2.17005,0.44847,0.29828,0.29119,0.14727,1.85282,3.01408,1.84884,0.0019208,0.0019208,0.0019208
8,380.905,1.76247,2.49958,2.09097,0.34991,0.34061,0.26033,0.12723,1.84538,3.07583,1.84061,0.0019076,0.0019076,0.0019076
9,427.272,1.72266,2.57633,2.07057,0.41943,0.37555,0.34322,0.17227,1.70136,2.63313,1.73809,0.0018944,0.0018944,0.0018944
10,474.06,1.78394,2.47082,2.11594,0.4096,0.26638,0.28384,0.12748,1.8234,2.90619,1.8839,0.0018812,0.0018812,0.0018812
11,520.696,1.75046,2.43663,2.05969,0.30734,0.34061,0.23126,0.10668,1.73388,3.07671,1.79383,0.001868,0.001868,0.001868
12,567.432,1.73486,2.20794,2.06302,0.41224,0.46725,0.40557,0.19217,1.73501,2.36277,1.80805,0.0018548,0.0018548,0.0018548
13,613.992,1.65091,2.15175,1.96137,0.52318,0.38811,0.40356,0.18409,1.68022,2.54727,1.7697,0.0018416,0.0018416,0.0018416
14,660.143,1.62809,2.15062,1.98464,0.58831,0.32751,0.32711,0.15196,1.70591,2.98143,1.75364,0.0018284,0.0018284,0.0018284
15,706.205,1.67288,2.1677,1.95404,0.46865,0.28384,0.28849,0.12832,1.73692,2.65718,1.81408,0.0018152,0.0018152,0.0018152
16,752.555,1.55566,2.0096,1.91038,0.62461,0.45775,0.47646,0.21889,1.67756,2.30056,1.73198,0.001802,0.001802,0.001802
17,798.915,1.62864,2.0792,2.00156,0.60793,0.42358,0.42575,0.17937,1.76614,2.41189,1.80083,0.0017888,0.0017888,0.0017888
18,845.078,1.58012,2.08853,1.8945,0.56252,0.41921,0.39487,0.21144,1.63945,2.38341,1.72318,0.0017756,0.0017756,0.0017756
19,891.336,1.61262,1.94534,1.94013,0.56776,0.38428,0.36958,0.19703,1.66965,2.42735,1.72945,0.0017624,0.0017624,0.0017624
20,937.401,1.5768,1.97713,1.91466,0.54677,0.38865,0.44912,0.23592,1.61816,2.26709,1.7031,0.0017492,0.0017492,0.0017492
21,984.111,1.54713,1.92652,1.87251,0.53368,0.38428,0.41998,0.22295,1.63284,2.37632,1.71359,0.001736,0.001736,0.001736
22,1030.51,1.56119,1.9078,1.89794,0.51785,0.40175,0.43942,0.23303,1.62041,2.41484,1.74723,0.0017228,0.0017228,0.0017228
23,1076.78,1.4962,1.80203,1.8986,0.51348,0.40175,0.39633,0.19892,1.70935,2.24749,1.81339,0.0017096,0.0017096,0.0017096
24,1123.02,1.5226,1.85634,1.87778,0.55505,0.35371,0.37545,0.17863,1.62276,2.53331,1.69669,0.0016964,0.0016964,0.0016964
25,1169.25,1.51036,1.81813,1.86571,0.63851,0.4088,0.43105,0.21232,1.67414,2.32146,1.71343,0.0016832,0.0016832,0.0016832
26,1215.78,1.51784,1.83482,1.84051,0.5619,0.45852,0.46754,0.21248,1.60348,2.20438,1.66979,0.00167,0.00167,0.00167
27,1262.24,1.49966,1.76998,1.866,0.67626,0.47598,0.52089,0.2567,1.5773,2.14435,1.67549,0.0016568,0.0016568,0.0016568
28,1308.54,1.44466,1.7437,1.79843,0.66889,0.45852,0.487,0.23334,1.62417,2.13676,1.68793,0.0016436,0.0016436,0.0016436
29,1354.9,1.4339,1.75934,1.78622,0.51765,0.50655,0.43436,0.21328,1.64898,2.19759,1.79243,0.0016304,0.0016304,0.0016304
30,1401.3,1.39815,1.73579,1.75264,0.62817,0.50655,0.50996,0.25144,1.59308,2.11524,1.70747,0.0016172,0.0016172,0.0016172
31,1447.91,1.42192,1.70722,1.75691,0.47699,0.48189,0.40458,0.19851,1.68723,2.32739,1.74956,0.001604,0.001604,0.001604
32,1494.2,1.38914,1.64745,1.7305,0.61306,0.51092,0.55126,0.26988,1.57623,1.91786,1.67294,0.0015908,0.0015908,0.0015908
33,1540.91,1.43127,1.64455,1.79203,0.52587,0.58606,0.44323,0.2089,1.66324,2.18886,1.76506,0.0015776,0.0015776,0.0015776
34,1587.44,1.46982,1.67498,1.79032,0.57928,0.49782,0.54683,0.25887,1.62492,2.01633,1.71777,0.0015644,0.0015644,0.0015644
35,1633.65,1.41736,1.64218,1.7619,0.61249,0.51528,0.54134,0.26957,1.53883,1.87676,1.64853,0.0015512,0.0015512,0.0015512
36,1680.11,1.40437,1.60155,1.76206,0.65763,0.45415,0.50108,0.24277,1.53919,2.01197,1.67075,0.001538,0.001538,0.001538
37,1726.94,1.47418,1.62787,1.8544,0.61871,0.45351,0.46692,0.23287,1.67837,2.30972,1.81226,0.0015248,0.0015248,0.0015248
38,1774.45,1.42242,1.59317,1.77628,0.655,0.50573,0.55022,0.25904,1.65255,2.03207,1.79085,0.0015116,0.0015116,0.0015116
39,1820.97,1.43831,1.66768,1.81533,0.61768,0.45852,0.50418,0.25136,1.60056,2.22908,1.68677,0.0014984,0.0014984,0.0014984
40,1867.35,1.37497,1.45817,1.76355,0.60409,0.50218,0.51152,0.24501,1.62459,2.12088,1.83087,0.0014852,0.0014852,0.0014852
41,1914.01,1.44061,1.51688,1.81259,0.59295,0.51525,0.52131,0.24517,1.64512,2.05939,1.74084,0.001472,0.001472,0.001472
42,1960.3,1.40415,1.56337,1.76125,0.62055,0.51965,0.55089,0.2652,1.58913,2.16452,1.6882,0.0014588,0.0014588,0.0014588
43,2007.08,1.37633,1.43608,1.75345,0.56689,0.50869,0.50068,0.22538,1.66527,2.07826,1.77906,0.0014456,0.0014456,0.0014456
44,2053.64,1.36374,1.51676,1.72937,0.57929,0.53514,0.49644,0.24744,1.62748,2.1971,1.74166,0.0014324,0.0014324,0.0014324
45,2101.22,1.35381,1.46142,1.73794,0.6779,0.52402,0.57518,0.2744,1.57082,2.03143,1.70638,0.0014192,0.0014192,0.0014192
46,2151.18,1.34592,1.45591,1.6975,0.64056,0.53275,0.55872,0.26668,1.61241,1.99777,1.70684,0.001406,0.001406,0.001406
47,2199.26,1.35392,1.4557,1.7286,0.61697,0.48533,0.51205,0.25612,1.63672,2.19644,1.76004,0.0013928,0.0013928,0.0013928
48,2245.91,1.39655,1.44983,1.77482,0.56345,0.58515,0.54069,0.25364,1.61145,2.02179,1.69382,0.0013796,0.0013796,0.0013796
49,2293.35,1.3526,1.45466,1.71452,0.6502,0.55022,0.57868,0.26858,1.58526,1.95847,1.6738,0.0013664,0.0013664,0.0013664
50,2340.12,1.34368,1.46979,1.6967,0.69476,0.51685,0.53034,0.2635,1.61146,1.95832,1.68115,0.0013532,0.0013532,0.0013532
51,2386.79,1.32878,1.39987,1.68643,0.68447,0.48472,0.51533,0.2555,1.63824,2.04244,1.71709,0.00134,0.00134,0.00134
52,2433.52,1.31001,1.36771,1.68078,0.65396,0.51092,0.53452,0.26014,1.69463,2.15739,1.77502,0.0013268,0.0013268,0.0013268
53,2480.33,1.37296,1.41366,1.74482,0.77131,0.51965,0.59462,0.27973,1.61345,1.92186,1.70872,0.0013136,0.0013136,0.0013136
54,2526.65,1.33175,1.37839,1.67886,0.76498,0.54013,0.6065,0.30187,1.61578,1.86656,1.72564,0.0013004,0.0013004,0.0013004
55,2573.73,1.32831,1.39095,1.69453,0.65674,0.51965,0.51542,0.25624,1.62104,2.31623,1.68143,0.0012872,0.0012872,0.0012872
56,2620.59,1.25991,1.33869,1.61293,0.74326,0.52838,0.57897,0.29282,1.6522,2.06105,1.73503,0.001274,0.001274,0.001274
57,2666.52,1.27894,1.2631,1.64394,0.68721,0.50218,0.5231,0.24455,1.59487,1.99227,1.70497,0.0012608,0.0012608,0.0012608
58,2712.94,1.29481,1.30453,1.65908,0.63366,0.54148,0.5274,0.24526,1.65065,2.02547,1.74577,0.0012476,0.0012476,0.0012476
59,2759.31,1.30923,1.3674,1.68565,0.70763,0.48472,0.55295,0.25856,1.67152,2.14702,1.82276,0.0012344,0.0012344,0.0012344
60,2805.7,1.2815,1.34178,1.66137,0.70691,0.52662,0.53702,0.2519,1.69876,2.05866,1.75665,0.0012212,0.0012212,0.0012212
61,2852.04,1.24809,1.3126,1.6499,0.75468,0.49345,0.57114,0.27713,1.61762,1.94654,1.76172,0.001208,0.001208,0.001208
62,2898.37,1.2547,1.30052,1.64765,0.69112,0.55459,0.58097,0.27615,1.66799,1.89419,1.82503,0.0011948,0.0011948,0.0011948
